,VAE_LR,VAE_BATCH_SIZE,VAE_NUM_EPOCHS,LATENT_DIM,VAE_TYPE,NUM_LAYERS,HIDDEN_SIZE,KL_WEIGHT,MEAN_LOSS,STD_LOSS,RATIO,ID#
0,0.001,8.0,80.0,10.0,DNN,10.0,256.0,0.001,2.268289591016252,6.47237391406845,0.3504571307423792,4414949.0
1,0.001,8.0,80.0,20.0,DNN,5.0,256.0,0.001,0.0105500549384175,0.0351545987993359,0.30010454673762,2522364.0
2,0.001,8.0,80.0,5.0,DNN,5.0,256.0,0.001,0.0106425859116531,0.0364571522467702,0.2919203847743214,2894267.0
3,0.001,8.0,80.0,2.0,DNN,10.0,256.0,0.001,,,,479537.0
4,0.001,8.0,80.0,2.0,DNN,5.0,256.0,0.001,0.0108278315099012,0.0352708377989952,0.3069910494218463,3341669.0
5,0.001,8.0,80.0,40.0,DNN,5.0,256.0,0.001,0.0115271190113256,0.0361963503299411,0.3184608090664491,7417969.0
6,0.001,8.0,80.0,20.0,DNN,5.0,256.0,0.001,0.0066040758159259,0.0324450210745732,0.2035466643941084,8221203.0
7,,,,,,,,,,,,
8,0.0001,8.0,80.0,10.0,DNN,5.0,256.0,0.001,0.0067348795799265,0.0327663161874718,0.2055427757393619,3944192.0
9,0.0001,8.0,80.0,10.0,DNN,5.0,256.0,1.0,0.0066778916378795,0.0325926686444699,0.2048893789804052,8212663.0
10,0.0001,8.0,80.0,20.0,DNN,5.0,256.0,0.001,0.0069365368334517,0.0326388230269706,0.2125241105575355,3790903.0
11,0.0001,8.0,120.0,20.0,DNN,5.0,256.0,0.001,0.0061739465872355,0.0324078843921899,0.1905075478707719,374248.0
12,0.0001,8.0,80.0,10.0,DNN,5.0,256.0,0.001,0.0073099885368947,0.0329648628983284,0.2217509157990591,6387794.0
13,0.0001,8.0,80.0,5.0,DNN,5.0,256.0,0.001,0.0067663354175042,0.0332014499053735,0.2037963834949604,2011003.0
14,0.0001,8.0,80.0,2.0,DNN,5.0,256.0,0.001,0.0075864154721201,0.0327824570830343,0.2314169268308519,127582.0
15,0.0001,8.0,80.0,40.0,DNN,5.0,256.0,0.001,0.006877234109036976,0.03244295832995797,0.21197925414485114,7164519.0
